Original Description,Synthesized Descritpion,Permission,,
customize the weather forecast for your community and other locations that interest you+ receive severe weather alerts at your location,you can get weather forecast near your location your location information,LOCATION,,
location information is used for location based searches,access location and gps,LOCATION,,
share your location,find your current location and share it with friends,LOCATION,,
share your location,find your current location,LOCATION,,
"the location of each post, photo and video posted is logged via gps and made available to other runners to join in on the fun!",track your location via gps data,LOCATION,,
find nearest vital locations,find nearest location based on your current location,LOCATION,,
app connects the drivers around your current location,this app use your location information to find nearby service,LOCATION,,
"location based mute, turn the sound off when you go to the cinema or church ",find your current location to get nearby locations,LOCATION,,
"along with navigation on the app, you can also find locations of different places around you ",access location and gps data to provide map navigation,LOCATION,,
get the location when you take the picture,the app uses camera and camera to take photo and location,LOCATION,,
"view the itinerary or event interactive maps with geo location and calculate routes to reach the points indicated in the different modes: auto, pedestrian or bike from your location ",get your location and set destination,LOCATION,,
"the app is location-based and real-time, offering a map-based interface to the data available and the air quality in your neighbourhood ",the app access location permission,LOCATION,,
location or the gps tracking function enable,this app can track your location via gps,LOCATION,,
routing to and from the current location,find your current location and get direction,LOCATION,,
get your current location,find your current location,LOCATION,,
access your current location,find your current lcoation based on gps,LOCATION,,
"gps location is shown on maps during office hours, know where your staff is ",this app track your location using gps data,LOCATION,,
